"title","channelName","viewCount","likes","date","duration","type","url","commentsCount"
"What is Artificial Intelligence? | Quick Learner","Duke University","387393","2500","2021-04-13T13:30:49.000Z","00:01:39","video","https://www.youtube.com/watch?v=c0m6yaGlZh4","1"
"30 Underrated Companies Hiring Data Analysts & Data Scientists (₹8L–₹22L CTC)","Noodle Brain","3695","294","2026-07-11T12:30:06.000Z","00:16:30","video","https://www.youtube.com/watch?v=_XvNwXEGzL4","83"
"Data Analytics For Beginners | Introduction To Data Analytics | Data Analytics Using R | Simplilearn","Simplilearn","652887","9100","2020-04-24T14:30:14.000Z","00:51:24","video","https://www.youtube.com/watch?v=zwasdVPPFFw","63"
"The Computer Chronicles - Artificial Intelligence (1984)","The Computer Chronicles","367737","10000","2012-11-09T20:26:13.000Z","00:28:40","video","https://www.youtube.com/watch?v=_S3m0V_ZF_Q","2556"
"Learn Power BI - Full Data Analyst Course for 2026","Boot dev","30240","1300","2026-04-24T16:01:18.000Z","04:37:57","video","https://www.youtube.com/watch?v=keDIUQCVhtA","33"
"The ONLY Data Analyst Project You Need to Get Hired in 2026","Kedeisha Bryan - Your Data Career Coach","55951","3000","2025-06-30T16:55:12.000Z","00:09:52","video","https://www.youtube.com/watch?v=PLj2On29-fM","119"
"10 Business Metrics EVERY Data Analyst Must Know (Get Hired)","Christine Jiang","9677","612","2026-05-05T14:00:34.000Z","00:17:02","video","https://www.youtube.com/watch?v=IhozukrlI9w","22"
"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning","Alex The Analyst","210273","4500","2024-10-29T12:01:19.000Z","02:38:36","video","https://www.youtube.com/watch?v=zXnQNytHCPM","125"
"We Asked 5 AI Pioneers What Happens Next — Here’s What They Said | AI Architects","Business Insider","189323","3100","2026-04-03T13:00:00.000Z","00:36:39","video","https://www.youtube.com/watch?v=6_aKBUfY2Yc","473"
"Data Analyst Roadmap 2026 | Land Your First Data Analytics Job","PW Medharthi","47993","2000","2026-06-12T06:19:18.000Z","00:10:55","video","https://www.youtube.com/watch?v=gN5Fdkcyfug","90"
"AI, Machine Learning, Deep Learning and Generative AI Explained","IBM Technology","3324481","74000","2024-08-05T11:00:52.000Z","00:10:00","video","https://www.youtube.com/watch?v=qYNweeDHiyU","2161"
"Data Analyst Roadmap","TechStoriesOfSrinidhi","86821","3600","2025-11-12T12:31:31.000Z","00:11:09","video","https://www.youtube.com/watch?v=za0xrX1toTA","218"
"Why AI Researchers Are Quitting and Panicking on the Way Out","The Infographics Show","1526675","26000","2026-03-17T00:11:00.000Z","00:14:48","video","https://www.youtube.com/watch?v=rtT87iAm_SM","3367"
"Most People Learning Data Analytics Are Wasting Their Time (Here’s Why)","Esther Chinenye Anagu","57617","2100","2026-01-27T07:00:29.000Z","00:10:38","video","https://www.youtube.com/watch?v=ejKxJOnnAlI","430"
"Data Analyst Career in 2026: The Truth No One Tells You | Ft. Satish Dhawale","Rajat jain","20359","635","2026-06-30T15:30:06.000Z","00:31:18","video","https://www.youtube.com/watch?v=_pfXEE15u6Y","100"
"Learn SQL Beginner to Advanced in Under 4 Hours","Alex The Analyst","1637110","30000","2024-10-08T12:00:27.000Z","04:04:58","video","https://www.youtube.com/watch?v=OT1RErkfLNQ&t=9766s","1073"
"FREE Data Analyst Bootcamp!!","Alex The Analyst","2849916","60000","2023-02-07T12:30:11.000Z","00:06:52","video","https://www.youtube.com/watch?v=rGx1QNdYzvs","2564"
"Should You Become a Data Analyst in 2026?","Sahil Gogna","49257","1900","2026-01-12T14:01:29.000Z","00:14:46","video","https://www.youtube.com/watch?v=o5yN7BbOukE","144"
"Do This To Get FIRST DATA ANALYST JOB!","Top VarSity","10476","527","2026-06-24T13:00:38.000Z","00:11:44","video","https://www.youtube.com/watch?v=Lo1_qIYLlTI","66"
"Data Analyst vs Data Scientist vs Data Engineer | Difference Explained","Apna College","1221468","38000","2024-01-13T15:03:11.000Z","00:13:29","video","https://www.youtube.com/watch?v=bno03RUhMIY","1362"
"The ONLY 5 Skills Every Data Analyst Needs in 2026","Data Logic With Shivam","21934","1200","2026-06-15T10:30:54.000Z","00:19:22","video","https://www.youtube.com/watch?v=QPaVXiDpdTo","240"
"Machine Learning Explained: A Guide to ML, AI, & Deep Learning","IBM Technology","89064","2200","2025-10-20T11:01:58.000Z","00:10:39","video","https://www.youtube.com/watch?v=znF2U_3Z210","53"
"Data Analysis with ChatGPT (in 4 steps), AI replacing analysts?🧐, my new life in Vietnam🤍","Lillian Chiu","257947","7900","2025-07-31T12:08:33.000Z","00:10:59","video","https://www.youtube.com/watch?v=uKNQTgCXdRM","137"
"Python Machine Learning Tutorial (Data Science)","Programming with Mosh","3594627","78000","2020-09-17T13:00:03.000Z","00:49:43","video","https://www.youtube.com/watch?v=7eh4d6sabA0","2033"
"All Machine Learning Concepts Explained in 22 Minutes","Infinite Codes","490879","18000","2024-11-27T21:26:58.000Z","00:22:22","video","https://www.youtube.com/watch?v=Fa_V9fP2tpU","188"
"Complete Machine Learning In 6 Hours| Krish Naik","Krish Naik","2038075","32000","2022-05-28T04:37:31.000Z","06:37:52","video","https://www.youtube.com/watch?v=JxgmHe2NyeY","801"
"The Most Important Algorithm in Machine Learning","Artem Kirsanov","1099657","42000","2024-04-01T03:23:54.000Z","00:40:08","video","https://www.youtube.com/watch?v=SmZmBKc7Lrs","803"
"The People Who Built AI Can't Explain It","CGP Grey","12373816","663000","2017-12-18T14:39:33.000Z","00:08:54","video","https://www.youtube.com/watch?v=R9OHn5ZF4Uo","22357"
"#1 Machine Learning Specialization [Course 1, Week 1, Lesson 1]","DeepLearningAI","936545","8300","2022-12-01T13:20:48.000Z","00:02:45","video","https://www.youtube.com/watch?v=vStJoetOxJg","99"
"Machine Learning Full Course | Learn Machine Learning | Machine Learning Tutorial | Simplilearn","Simplilearn","1009894","19000","2019-08-30T05:30:00.000Z","06:21:33","video","https://www.youtube.com/watch?v=9f-GarcDY58","4619"
"Computer Scientist Explains Machine Learning in 5 Levels of Difficulty | WIRED","WIRED","2507891","70000","2021-08-18T16:00:08.000Z","00:26:08","video","https://www.youtube.com/watch?v=5q87K1WaoFI","2198"
"Stanford CS229 Machine Learning I Introduction I 2022 I Lecture 1","Stanford Online","389000","4800","2023-08-01T14:00:11.000Z","01:18:42","video","https://www.youtube.com/watch?v=Bl4Feh_Mjvo","103"
"Machine Learning Tutorial Python -1: What is Machine Learning?","codebasics","1743664","17000","2018-06-30T21:31:22.000Z","00:06:50","video","https://www.youtube.com/watch?v=gmvvaobm7eQ","284"
"Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka","edureka!","3591962","62000","2019-09-22T08:30:00.000Z","09:38:32","video","https://www.youtube.com/watch?v=GwIo3gDZCVQ","1344"
"What I *actually* do as a Machine Learning Engineer (salary, job, reality)","Egor Howell","173430","4600","2025-03-16T08:56:24.000Z","00:12:35","video","https://www.youtube.com/watch?v=PFbXCIMlfc8","306"
"Machine Learning Fundamentals: Bias and Variance","StatQuest with Josh Starmer","1725685","46000","2018-09-17T16:00:42.000Z","00:06:36","video","https://www.youtube.com/watch?v=EuBBz3bI-aA","1619"
"Machine Learning Roadmap 2025 - What Skills Should You Learn First?","Marina Wyss - AI & Machine Learning","65369","3100","2025-07-15T14:01:22.000Z","00:10:59","video","https://www.youtube.com/watch?v=lU12aoer3Mk","104"
"Janani K. Jha  - Machine Learning (Official Lyric Video)","Janani K. Jha","182814","4100","2022-11-04T04:00:08.000Z","00:02:38","video","https://www.youtube.com/watch?v=Y5x8xvDnLXk&list=RDY5x8xvDnLXk&start_radio=1","148"
"What is Machine Learning?","CodeAI","263032","1500","2020-12-01T11:00:30.000Z","00:02:53","video","https://www.youtube.com/watch?v=KHbwOetbmbs","0"
"Machine Learning with Python and Scikit-Learn – Full Course","freeCodeCamp.org","1057310","23000","2023-11-22T14:04:54.000Z","18:00:34","video","https://www.youtube.com/watch?v=hDKCxebp88A","809"
"Build your first machine learning model in Python","Data Professor","659941","16000","2022-05-27T15:15:52.000Z","00:30:57","video","https://www.youtube.com/watch?v=29ZQ3TDGgRQ","559"
"Machine Learning Tutorial | Machine Learning Basics | Machine Learning Algorithms | Simplilearn","Simplilearn","295012","3700","2018-02-13T15:31:39.000Z","00:34:52","video","https://www.youtube.com/watch?v=G7fPB4OHkys","141"
"Learn Machine Learning Like a GENIUS and Not Waste Time","Sahil & Sarra","376321","16000","2025-11-23T13:30:06.000Z","00:10:33","video","https://www.youtube.com/watch?v=2wTRQqoDM1A","334"
